,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
213,0.059501145,0.05673612,0.048964486,0.09669584,0.027008865
214,0.15068401,0.15068401,0.15068401,0.15068401,0.15068401
215,0.038389705,0.05216989,0.05180116,0.059255663,0.05255995
216,0.21048117,0.21048117,0.21048117,0.21048117,0.21048117
217,0.51645374,0.0623252,0.09108717,0.101286955,0.080765195
218,0.06691016,0.10199708,0.07756789,0.08718626,0.055186026
219,0.19559562,0.21859713,0.22112629,0.24061751,0.17379329
220,0.179361,0.19193336,0.31089434,0.26263887,0.24260789
221,0.03386619,0.24175444,0.24157304,0.31089434,0.18873183
222,0.075475395,0.048788056,0.041196544,0.058985602,0.033470917
223,0.9156528,0.9156528,0.9156528,0.9156528,0.9156528
224,0.5600389,0.55834013,0.55418825,0.5621585,0.52944434
225,0.057445493,0.06269102,0.054813292,0.086470865,0.046558242
226,0.34249574,0.34249574,0.34249574,0.34249574,0.34249574
227,0.1713044,0.1713044,0.1713044,0.1713044,0.1713044
228,0.50019133,0.50019133,0.50019133,0.50019133,0.50019133
229,0.0993755,0.07745882,0.09952749,0.115768544,0.10125242
230,0.15517358,0.15517358,0.15517358,0.15517358,0.15517358
231,0.9157298,0.9157298,0.9157298,0.9157298,0.9157298
232,0.55976284,0.55976284,0.55976284,0.55976284,0.55976284
233,0.24096897,0.14906336,0.15267698,0.18612663,0.15152656
234,0.7093121,0.10344347,0.11191798,0.1521307,0.11039562
235,0.10314691,0.10314691,0.10314691,0.10314691,0.10314691
236,0.6364068,0.4457185,0.46731,0.45771024,0.40331528
237,0.07989666,0.09219022,0.05533082,0.087848514,0.049770422
238,0.1846964,0.18390523,0.19501413,0.1964582,0.17961776
239,0.1362224,0.17817786,0.24018171,0.24155463,0.1834506
240,0.2201938,0.17699891,0.166564,0.16625018,0.16883758
241,0.81315136,0.90738946,0.9242137,0.9156528,0.9156528
242,0.08009059,0.08009059,0.08009059,0.08009059,0.08009059
243,0.100644425,0.100644425,0.100644425,0.100644425,0.100644425
244,0.8337418,0.8337418,0.8337418,0.8337418,0.8337418
245,0.43745098,0.07942235,0.09404727,0.10677386,0.08819527
246,0.73678195,0.5092861,0.52985543,0.51447266,0.5188405
247,0.060249664,0.07563383,0.05436508,0.092665434,0.052556727
248,0.5333719,0.15529008,0.21640289,0.20598489,0.20781833
249,0.30695122,0.30695122,0.30695122,0.30695122,0.30695122
250,0.15133958,0.15133958,0.15133958,0.15133958,0.15133958
251,0.14987554,0.16172953,0.17283201,0.16879071,0.15470745
252,0.6364068,0.083964236,0.088745326,0.110465884,0.085463755
253,0.9156528,0.074499995,0.08300528,0.09760611,0.06020374
254,0.9897058,0.9897058,0.9897058,0.9897058,0.9897058
255,0.040003132,0.05313736,0.0594303,0.076230876,0.060677998
256,0.6669994,0.09375281,0.051528737,0.09794506,0.037695765
257,0.036803305,0.036803305,0.036803305,0.036803305,0.036803305
258,0.19559547,0.111788206,0.06642801,0.13072582,0.07135548
259,0.032877117,0.028178371,0.04328052,0.049985833,0.040840417
260,0.7696396,0.21818782,0.17927682,0.24265085,0.15309308
261,0.03197833,0.062297713,0.056235164,0.073556036,0.054820083
262,0.05600297,0.061333388,0.06051963,0.07899183,0.060742293
